,Latitude,Longitude,region,mean_TreeFrac
0,45.698693877701785,7.5,EU,44.55441
1,45.698693877701785,9.375,EU,35.29522
2,45.698693877701785,11.25,EU,23.448261
3,45.698693877701785,13.125,EU,26.474909
4,45.698693877701785,15.0,EU,23.296375
5,45.698693877701785,16.875,EU,13.423655
6,45.698693877701785,18.75,EU,22.72743
7,45.698693877701785,20.625,EU,20.692694
8,45.698693877701785,22.5,EU,29.278109
9,45.698693877701785,24.375,EU,25.541195
10,45.698693877701785,26.25,EU,22.310959
11,45.698693877701785,28.125,EU,17.506348
12,45.698693877701785,30.0,EU,14.570625
13,47.56392574797867,7.5,EU,28.259422
14,47.56392574797867,9.375,EU,27.553158
15,47.56392574797867,11.25,EU,31.83058
16,47.56392574797867,13.125,EU,38.785683
17,47.56392574797867,15.0,EU,50.892464
18,47.56392574797867,16.875,EU,22.370127
19,47.56392574797867,18.75,EU,24.562548
20,47.56392574797867,20.625,EU,21.118515
21,47.56392574797867,22.5,EU,24.900167
22,47.56392574797867,24.375,EU,23.453718
23,47.56392574797867,26.25,EU,22.991692
24,47.56392574797867,28.125,EU,16.478859
25,47.56392574797867,30.0,EU,17.45899
26,49.42915369712305,5.625,EU,10.348593
27,49.42915369712305,7.5,EU,22.771015
28,49.42915369712305,9.375,EU,14.716336
29,49.42915369712305,11.25,EU,19.185213
30,49.42915369712305,13.125,EU,12.324334
31,49.42915369712305,15.0,EU,12.95957
32,49.42915369712305,16.875,EU,18.419865
33,49.42915369712305,18.75,EU,47.25273
34,49.42915369712305,20.625,EU,32.574646
35,49.42915369712305,22.5,EU,25.146297
36,49.42915369712305,24.375,EU,32.02044
37,49.42915369712305,26.25,EU,19.710264
38,49.42915369712305,28.125,EU,23.893576
39,49.42915369712305,30.0,EU,24.651024
40,51.29437713895115,5.625,EU,13.594703
41,51.29437713895115,7.5,EU,23.772203
42,51.29437713895115,9.375,EU,24.918215
43,51.29437713895115,11.25,EU,20.775948
44,51.29437713895115,13.125,EU,13.985118
45,51.29437713895115,15.0,EU,29.004879
46,51.29437713895115,16.875,EU,30.441456
47,51.29437713895115,18.75,EU,30.319824
48,51.29437713895115,20.625,EU,25.392694
49,51.29437713895115,22.5,EU,24.434324
50,51.29437713895115,24.375,EU,18.79363
51,51.29437713895115,26.25,EU,18.688686
